AuthorId,PaperIds
1351680,715954 1388906 331980 2160866
1024004,1472981 852507 1045696 654827 2172852 1733842 9455 333468 218820 1956686 951595 976095 1522259 837034 2113232 218222 473747 877717 468999 74670 1416263 2061066 5382 93575 1888461 697800
1916937,1287401 150205 1994719 1797557 1728923 1715857 712949 317444 1512584 1004515 1508107 1137086 487356 1544996 328070 824092 174456 928425 1780724 1615763 1318073 1427082 836665 2092520 1976885 1048296 1271510 1965669 1233076 2094710 1560004 1568597 469148 1934870 923062 55833 41305 432833 433112 2163129 1273079 1343333 2047613 2235277 1046839 180498 1900223 1088788 470267 936432 963776 99166 611293
1194669,1250726 1400296 1371210 523370 1162044 2243858 723489 959365 236385 838564 1793987 1212885 1349907 714683 554438 922479 876426
1475928,2234020 2208459 2113960 2063580 2033322 2004004 1947146 1934015 1866874 1853917 1739257 1546822 1506499 1499395 1484042 1463521 1026420 865725 854580 740729 599959 584762 508381 384532 350479 326094 2146292 2026295 1370408 928329 881326 704988 133142 1571193 1699163 1602744 1574261 687174 2176184 1576732 931569 567213 594097 1232140 883835 779979 239174 1976724 321234 519813 1527269 1489757 2186520 1033022 618132 1283884 844484 1805727 1978034 2253967 1313409 1387116 1344642 267630 1351179 1033064 1127563 1874689 1981854 1956877 455990 2183197 1325579 688346 2125622 722124 1617870 1010030 587298 1587265 1560345 1785314 1172948 1069374 1689185 4036 2052470 2162134 646605 500560 1771280 1207441 931337 1811586 1119946 837527
1597460,636746 531819 1145502
557077,92477 1999610 1529160 1061117 995629 524538 386271 11768 1386125 282569 1710689
401431,1644725 1322344 1421187 1814915 1361377 353225 169371 1374875 280156 76212 750870 713833
1753114,1069701 1309743 1796523 1455306 1409012 403671 800460 602428 1533141 1023031 722450 1024141 2027655 1436819 2060913 540081 1845160 1601368 1394190 1250986 876692 526721 664814 1537241 316536 2218930 1011605 2063216 1328976 1516532 1436260 2009936 116061 1808885 828471 2118864 1726974 1677191 1260061 1214933 1191461 1164938 80748 258845 675531 375035 1669538 1766552 1049433 1019848 673505 335616 1003840 1185191 1138977 202181 454987 1740420 778438 802636 704140 119110 2250019 741657 2011689 2121850 169846 469579 396473 1537633 2000881 1146209 1403319 855808 303063 19775 83961 1078307 153470 2226961 76877 1897882 2153590 1000589 961647 665593 112477
311327,515796 50534 1337862 1508788 2123495
1474595,276381 126978 251250 191407 704906 1983317 1164689
