authorid,paperids
55,102768 2152937 389256 1017616 1516256 1562350 82789 2060463 1182092 1376095 161497 1473948 787670 1513936 2069581 166298 1978555 419865 1487068 515706 2228219 322106 1471568 1294041 1263351 2219269 1039736 1068666 838147 674836 1704151 596639 1611534 1253687 1330500 1791611 2209422 1420910 1488589 529078 294906 462613 1537119 649955 145200 1208855 1930652 1002385 821861 861633 68780 372043 169774 85184 1028676 1696592 1886009 1998820 530550 1334503 1341262 717808 757830 2107137 753581 1717868 1081944 801400 1796849 264821 2145125 2172928 443598 1883848 2170187 2130152 1334565 374924 847749 1792050 1153819 50011 1477509 1113127 1958000 1390814 1567825 1360578 1318181 590824 640883 1114808 1813933 1111248 348351 860367 1453295 1318932 2239080 1645597 1058984 360278 1618867 1728999 1914211 809176 449667 327692 367455 400432 1912963 2144025 766130 1905878 2014129 1845348 1561911 2139295 548812 1267968 1213444 1976657 609556 916062 2238930 2086146 981085 1846507 1572902 1693618 413987 1283236 1613009 844326 2088058 269210 1604996 742557 1170435 1218501 1692285 197854 1704638 2101279 2253161 1290673 1106983 2232203 1268918 1923712 327786 217562 400429 538215 1417252 1157610 1051041 128962 434255 362297 2069862 1609130 2061699 40294 1147447 1232116 1000445 1281589 75169 1088098 633416 2149929 2001305 429669 652442 1057692 317855 618099 82669 136767 433440 867779 1389430 411010 468963 2001206 2050391 95899 243218 424703 1303769 478547 1639061 110515 77268 1149308 36459 563378 1647435 1314361 275203 1175552 991821 733374 1166498 1740617 1279252 600193 1768979 749124 138526 824229 605718 1350211 2221713 1482854 1917226 1401976 617344 2139275 1234065 1634096 569738 657724 1130940 1058628 1292671 1426341 878611 282173 1246558 2507 1844943 330142 25103 1254356 847721 745317 178497 380270 1564558 645843 1963658 2242701 1079484 1690254 1686687 1507925 1505207 869813 1521193 1340284 1324071 837051 209987 2071330 1315501 222631 1296398 810770 1871885 1265959 500411 241121 55193 1536069 372836 761011 1169763 1842828 42966 1311582 2006004 2148216 1588620 933473 1490929 1040990 251879 1287246 1165889 415449 1737538 1614166 1638417 1705250 122970 561429 1051834 1782482 188583 1715897 1935912 965304 824805 1030869 1162408 778260 507841 295041 1321344 1709794 427091 816840 649131 1779715 1309753 2172944 393613 1665586 1079496 2100017 869430 167677 1235117 1268197 2133149 267444 1412697 794747 501918 1330055 2126038 1545364 1183554 1457884 24074 19294 1124696 1842680 396571 855331 803603 699144 1204075 545233 2033860 1807352 2097673 1328475 372994 313273 2020967 299391 1953648 2235159 1993390 860343 1065523 1587177 939887 823685 878853 949475 153324 640178 889545 228600 493921 434161 446774 1618919 1224720 52775 520682 782195 1691264 2161270 1432571 2254072 1258087 762178 300323 1480374 836932 1598529 686632 1003588 716659 1038114 69178 293806 2010142 602590 401485 1032043 311565 391835 1754410 944768 440944 157653 1909176 1964990 1874629 2228319 973193 1441833 511272 590988 2047193 566388 2025947 1374577 1845523 487867 2169279 164850 2239313 852486 1501821 1246911 129165 1819740 885156 629576 1743955 1131748 1637203 160532 1767867 493623 600343 812510 443903 1809054 75356 1689507 391076 1134037 1358815 607208 494493 250051 662811 1659666 599636 248390 1619343 707333 441364 1868160 138408 947880 1598603 1355338 2052277 1674347 733638 627473 1464112 1258466 1996769 666181 1600372 583593 1236357 2188967 1127766 1247571 1974662 1805568 1226103 914441 697076 491228 479932 1961041 2243047 2188174 685489 191340 1087938 819589 1892017 1647084 800859 1561133 2187821 651888 849805 1605108 518886 1627327 768943 1425243 847068 805860 2233795 1705023 913529 636227 1988335 2116002 951610 341916 337774 68389 1231847 783611 1596644 2031585 778747 2185666 1044866 47028 839470 616823 1639193 2169998 433613 464497 605597 1306853 1299922 1336245 1117699 224005 1338645 109868 683325 720336 898876 397455 283152 520007 571156 341776 375494 1129545 1212786 1392908 1358761 883792 601175 1131277 836220 701621 423069 417586 1748110 452096 1762246 1034482 918326 1475480 20444 1971149 1402396 567439 1275261 25304 2160386 369796 744480 690310 2043565 1629211 1559958 1006063 767668 2160850 801725 739353 1709669 1575412 2227977 292208 589720 1421288 151248 360533 1669282 1224097 179163 185529 427328 1369596 529900 2054919 1272277 862499 1347683 1503094 1412366 1988643 1598298 2182966 1495079 569149 178422 577846 2020050 836602 655318 285210 15471 919007 1200417 1406810 144775 1120846 1481605 732607 810900 1315957 1617887 787171 375645 1200622 441057 1095626 580095 1389913 1409438 139335 1874507 2213984 156007 671895 2188615 1470552 1514435 368324 2135162 1493998 2248734 857434 1384633 178136 787757 533875 1368392 1503337 1822770 2140444 998325 1671418 222469 873533 312517 1291570 2203516 2089307 1309499 558232 1348168 2067435 1230662 366499 1333822 2092511 1173588 2078331 341809 842748 1973900 2223355 1012283 108616 258012 415677 402085 542459 1394715 1221789 1484358 1404308 1373323 418934 791391 747730 2189241 1231449
426,703799 1425521 212235 885676 1220376 174625 1896437 37257 1525094 2114604 841427 581263 643226 1474160 92584 1397733 1020664 1506113 1619181 284639 1755057 2131795 1620205 762357 1513874 873 1715768 1591324 1200538 1743931 608753 1886966 1738852 1309402 733468 1522781
1861,528639 124595 1048827 1818633 59550 282043 922192 1059590
10212,173546 792369 1114250 24013 551557 1443210 195044 1753895 414184 681072 49767 694244 213826 736670 2148031 1495359 656535 824163 1830188 275419 711071 199989 2017320 1723109 1155164 509790 1907454 2108310 1763581 1279152 290814 1888199 1409670 131299 719916 1576383 1274721
10275,2029275 389312 1979860 358576 871240 300441 876311 995222 368138 2161376 2192149
11496,1743639 1272569 310992 1872494 382531 973637 1104541 248838 511060 1885728 1762778 395701 1492999 1202424 220745
18188,201934 909867 925232 197565 913351 1835169 157235 1107957 1545848 2235164 763814 1572736 241280 1940154 139332 2143863 1449121 474495 552709 837759 137079 1370016 1678146 573569 2045142 2179721 2166077 932834 813760 1794090 1161740 986581 710443 1596936 661470 1932598 1667384 1792343 389381 1908236 735641 517152 1625524 2174825 1221739 804483 1957616 1478315 580096 2085225 888761 1094311
24084,1033339 1373575 682071 740629 881167 1036778 264073 1189579 1884939 387864 742130 2109321 878697 755602 577751 2088513 1255955 798065 1295125 855848 1125171 709938 1738102 1382971 1265218 83119 1921831 1016070 1293911 485673 508776 540977 1956573 1995821 985112 1631641 921770 1019835 2110768 1001700 1627503 885251 1231769 948819 333881 159070 1869397
24742,1027260 2254334 16442 51173 1781937 1913487 721790 130342 2096774 1401091 418161 2089832 1245729 554197 1252386 2044666 1208535 71659 1212339 368006 1479666 1913043 1048305 415681 93774 1983432 306589 1878416 2169048
25416,1966318 867114 305286 1610714 813039 2160345 1828331 605987 1076709 169683 374185 742067 1825773 866186 927390 1485594 181977 1676941 2138119 1237729 1503965 1370261 558147 1895909 1797025 1168453 284666 811814 1587465 12388 2001332 1227405 1622407 670347 814588 892088 930472 1067880 1826301 232439 1360551 869152 61971 424415 1919301 1854342 360572 686511 1818437 757899 941767 1400136 1462076 1099694 790443 1596121 2225397 1447022 2192042 12812 812580 1104862 519560 1474602 1416605 1847725 84140 680237 1614447 1687437 1577492 460139 1613422 1610983 2185606 329902 1451082 93999 1196882 2247877 2134084
